;Nombre;Código NIF;Localidad;País;Código consolidación;Ultimo año disponible;"Ingresos de explotación
mil EUR
Últ. año disp."
1.;BANKINTER SOCIEDAD ANONIMA;A28157360;MADRID;ESPANA;U2;31/12/2021;1.598.805
2.;SONY ESPAÑA SA (EXTINGUIDA);A08191827;BARCELONA;ESPANA;U2;31/03/2010;1.166.253
3.;SANOFI AVENTIS SA;A08163586;BARCELONA;ESPANA;U1;31/12/2021;735.403
4.;VIDRALA, SA;A01004324;LAUDIO/LLODIO;ESPANA;U2;31/12/2021;636.959
5.;GALLETAS GULLON, SA;A34002501;AGUILAR DE CAMPOO;ESPANA;U2;31/12/2020;408.581
6.;SIDERURGICA SEVILLANA SA;A41014200;ALCALA DE GUADAIRA;ESPANA;U2;31/12/2021;406.487
7.;FRANCISCO ROS CASARES SA (EXTINGUIDA);A28142982;MADRID;ESPANA;U2;31/12/2003;380.181
8.;DE HEUS NUTRICION ANIMAL SAU;A15012180;A CORUÑA;ESPANA;U2;31/12/2021;293.145
9.;REPSOL EXPLORACION SA;A28138873;MADRID;ESPANA;U1;31/12/2021;286.452
10.;COOP FARMACEUTICA ANDALUZA (EN LIQUIDACION);F29008778;MALAGA;ESPANA;U1;31/12/2014;266.771
11.;COOP FARMACEUTICA DE TENERIFE COFARTE S.C.;F38003323;SAN CRISTOBAL DE LA LAGUNA;ESPANA;U1;31/12/2020;220.177
12.;LABORATORIOS INDAS SAU;A45002516;POZUELO DE ALARCON;ESPANA;U2;31/12/2021;215.946
13.;NORTEHISPANA DE SEGUROS Y REASEGUROS, SA;A08185589;MADRID;ESPANA;U1;31/12/2021;205.901
14.;CARTONAJES UNION SLU;B28153252;GANDIA;ESPANA;U2;31/12/2021;201.340
15.;LIFE TECHNOLOGIES SA;A28139434;ALCOBENDAS;ESPANA;U1;31/12/2021;198.399
16.;ROLEX ESPAÑA SA;A28153526;MADRID;ESPANA;U1;31/12/2021;174.230
17.;AGRUPACION MUTUAL ASEGURADORA MUTUA DE SEGUROS A PRIMA FIJA;G28177657;MADRID;ESPANA;U2;31/12/2021;171.553
