;Nombre;Código NIF;Localidad;País;Código consolidación;Ultimo año disponible;"Ingresos de explotación
mil EUR
Últ. año disp."
1.;FUNDACION MAPFRE FUNDACION CULTURAL PRIVADA;G28520443;MADRID;ESPANA;C1;31/12/2015;22.311.760
2.;CONSUM S COOP V;F46078986;SILLA;ESPANA;U1;31/01/2021;3.090.362
3.;BANSABADELL VIDA SA DE SEGUROS Y REASEGUROS;A08371908;MADRID;ESPANA;U1;31/12/2021;1.319.165
4.;SUPERDIPLO SA (EXTINGUIDA);A29032885;MALAGA;ESPANA;U2;31/12/2001;875.618
5.;ACCIONA AGUA SA;A95113361;ALCOBENDAS;ESPANA;U2;31/12/2019;641.266
6.;MEDTRONIC IBERICA SAU;A28389484;MADRID;ESPANA;U1;30/04/2021;551.031
7.;BIOIBERICA SAU;A08384190;PALAFOLLS;ESPANA;U2;31/12/2021;454.912
8.;PRYSMIAN CABLES SPAIN SA.;A08395162;VILANOVA I LA GELTRU;ESPANA;U1;31/12/2020;422.971
9.;VIAJES SIDETOURS SA;A07013907;PALMA;ESPANA;U2;31/12/2017;358.140
10.;PRODALCA ESPAÑA SA;A38013611;SANTA CRUZ DE TENERIFE;ESPANA;U1;31/12/2021;334.924
11.;SAICA PACK SL;B50035179;ZARAGOZA;ESPANA;U1;31/12/2021;314.022
12.;SCHENKER LOGISTICS SAU;A08363541;BARCELONA;ESPANA;U2;31/12/2020;286.762
13.;SAINT GOBAIN CRISTALERIA, SL;B33019241;MADRID;ESPANA;U2;31/12/2021;283.849
14.;CAPGEMINI ESPAÑA SL;B08377715;MADRID;ESPANA;U1;31/12/2020;272.161
15.;GROUPE SEB IBERICA, SA;A20025888;BARCELONA;ESPANA;U1;31/12/2021;254.787
16.;ARGAL ALIMENTACION SA.;A28212579;ZARAGOZA;ESPANA;U2;31/12/2021;223.220
17.;FRED OLSEN SA;A38010567;SANTA CRUZ DE TENERIFE;ESPANA;U1;31/12/2021;174.918
18.;GUREAK LANEAN SA.;A20044590;DONOSTIA/SAN SEBASTIAN;ESPANA;U2;31/12/2021;155.189
19.;EMPRESA METROPOLITANA DE ABASTECIMIENTO Y SANEAMIENTO DE AGUAS DE SEVILLA SA;A41039496;SEVILLA;ESPANA;U1;31/12/2021;143.685
20.;TRANSPORTES BLINDADOS SA;A07044530;PALMA;ESPANA;U2;31/12/2020;140.503
21.;PIKOLIN SL;B50032200;ZARAGOZA;ESPANA;U2;31/12/2021;133.002
22.;LA VAJILLA ENERIZ SA (EXTINGUIDA);A50033307;ZARAGOZA;ESPANA;U2;31/12/2004;127.071
23.;ACEROS ORMAZABAL SOCIEDAD ANONIMA.;A01010164;AMOREBIETA-ETXANO;ESPANA;U2;31/12/2021;127.052
24.;MATADERO COMARCAL DEL BAGES, S.L.;B08259673;SANT JOAN DE VILATORRADA;ESPANA;U1;31/12/2021;126.266
25.;OLEOLIVA SA;A29032067;VILLANUEVA DE ALGAIDAS;ESPANA;U1;31/12/2005;120.504
26.;HORMICEMEX, SA (EXTINGUIDA);A21008305;MADRID;ESPANA;U1;31/12/2011;112.848
27.;JUVER ALIMENTACION SA (EXTINGUIDA);A30020176;MURCIA;ESPANA;U1;30/06/2005;107.810
28.;PROYECTOS E INSTALACIONES DE DESALACION SA (EXTINGUIDA);A28395754;ERANDIO;ESPANA;U2;31/12/2003;106.080
29.;MERCASH SAR SL;B36007409;A CORUÑA;ESPANA;U1;31/01/2021;106.018
30.;TRANSPORTES URBANOS DE SEVILLA SOCIEDAD ANONIMA MUNICIPAL MP.;A41042474;SEVILLA;ESPANA;U2;31/12/2020;105.675
31.;VISCOFAN SA;A31065501;ARANGUREN;ESPANA;U2;31/12/2021;96.889
32.;COMERCIAL DE EDICIONES SM SA;A28388510;BOADILLA DEL MONTE;ESPANA;U2;31/12/2021;91.422
33.;MELCHOR MASCARO SA;A07045248;MANACOR;ESPANA;U1;31/12/2019;90.355
34.;VISAN INDUSTRIAS ZOOTECNICAS SL;B28412146;ARGANDA DEL REY;ESPANA;U2;31/12/2021;86.744
35.;LEGUMBRES LUENGO SA;A24010993;RIEGO DE LA VEGA;ESPANA;U1;31/12/2020;86.694
36.;OPTICA 2000 SL (EXTINGUIDA);B08422941;BARCELONA;ESPANA;U1;28/02/2019;83.405
37.;PANIFICIO RIVERA COSTAFREDA SA (EXTINGUIDA);A08133761;BARCELONA;ESPANA;U2;31/12/2000;82.429
38.;FERRER ALIMENTACION SA;A08091894;BARCELONA;ESPANA;U1;31/12/2020;78.039
39.;IZASA HOSPITAL SL;B08438731;L'HOSPITALET DE LLOBREGAT;ESPANA;U1;31/12/2021;75.646
40.;KRUSTAGROUP S.A.U.;A21008560;HUELVA;ESPANA;U1;31/12/2021;75.612
41.;ESTACIONAMIENTOS Y SERVICIOS SA;A28385458;MADRID;ESPANA;U2;31/12/2021;73.876
42.;NATURGY INVERSIONES INTERNACIONALES SA.;A28394088;MADRID;ESPANA;U2;31/12/2021;72.715
43.;LUCAS GIRLING SOCIEDAD LIMITADA.(EXTINGUIDA);B31060999;ORKOIEN;ESPANA;U1;31/12/2000;68.476
