"","regions","year","empleoservs","empleoturs","realpibturismo","realpibservicios","Pobl_total","poblalq"
"1","A Coruña","1955",89998,21162,NA,NA,NA,204
"2","A Coruña","1957",94402,23399,NA,NA,NA,218
"3","A Coruña","1959",101870,25716,NA,NA,NA,234
"4","A Coruña","1961",106507,27159,NA,NA,NA,256
"5","A Coruña","1963",111752,28090,NA,NA,NA,270
"6","A Coruña","1965",116996,29599,NA,NA,NA,276
"7","A Coruña","1967",122299,30957,NA,NA,NA,236
"8","A Coruña","1969",128185,33372,77843.3628318584,NA,"1034877",221
"9","A Coruña","1971",136359,36788,90964.7524752475,NA,"1030721",158
"10","A Coruña","1973",141735,37959,109733.220910624,NA,"1043292",154
"11","A Coruña","1975",149159,38033,118813.449564134,NA,"1056671",151
"12","A Coruña","1977",159397,38280,131847.584973166,NA,"1070168",147
"13","A Coruña","1979",162332,37652,NA,NA,"1082880",143
"14","A Coruña","1981",164835,34375,NA,127847.069681587,"1092175",141
"15","A Coruña","1983",169811,33635,NA,129462.406815761,"1100812",139
"16","A Coruña","1985",176976,34831,NA,131024.044032445,"1105233",137
"17","A Coruña","1987",185099,35759,NA,145319.879969993,"1104798",124
"18","A Coruña","1989",190364,36777,NA,163619.392575928,"1103018",118
"19","A Coruña","1991",198271,38738,NA,172163.018569735,"1097942",105
"20","A Coruña","1993",202077,38484,NA,172234.407836153,"1098871",78
"21","A Coruña","1995",380506,NA,NA,183428.571428571,"1099299",NA
"22","A Coruña","1997",394546,NA,NA,193218.795620438,"1097601",NA
"23","Álava","1955",16913,2802,NA,NA,NA,86
"24","Álava","1957",17760,3016,NA,NA,NA,90
"25","Álava","1959",18559,3297,NA,NA,NA,93
"26","Álava","1961",20038,3724,NA,NA,NA,95
"27","Álava","1963",21380,3827,NA,NA,NA,110
"28","Álava","1965",22552,4006,NA,NA,NA,113
"29","Álava","1967",23456,4139,NA,NA,NA,99
"30","Álava","1969",24814,4411,29361.5044247788,NA,"188723",90
"31","Álava","1971",26198,4848,33619.0099009901,NA,"199776",81
"32","Álava","1973",28311,5128,41664.0809443508,NA,"211227",72
"33","Álava","1975",31395,5220,46770.1120797011,NA,"223028",63
"34","Álava","1977",33718,5132,50566.3685152057,NA,"234980",61
"35","Álava","1979",35722,5336,NA,NA,"246439",58
"36","Álava","1981",37599,5430,NA,47028.703276419,"257105",56
"37","Álava","1983",42365,5697,NA,47798.9350372737,"262346",53
"38","Álava","1985",46936,6023,NA,49773.5805330243,"266265",52
