"","Localidad","year","empresas","telefonos","bancos","ind_turismo"
"2","ABANTO CIERVANA/ABANTO ZIERBENA",1965,0,35.8620689655172,1,-0.6
"3","ABANTO CIERVANA/ABANTO ZIERBENA",1967,0,19.2893401015228,0,0.5
"4","ABANTO CIERVANA/ABANTO ZIERBENA",1969,0,18.2978723404255,0,-1.2
"5","ABANTO CIERVANA/ABANTO ZIERBENA",1971,0,40.6474820143885,0,-0.3
"6","ABANTO CIERVANA/ABANTO ZIERBENA",1973,0,99.23273657289,0,-0.1
"7","ABANTO CIERVANA/ABANTO ZIERBENA",1975,0,32.9910141206675,0,0.5
"8","ABANTO CIERVANA/ABANTO ZIERBENA",1977,0,-42.8571428571429,0,0.1
"9","ABANTO CIERVANA/ABANTO ZIERBENA",1979,2,252.871621621622,0,1.7
"10","ABANTO CIERVANA/ABANTO ZIERBENA",1981,-1,15.9885112494016,0,0.1
"11","ABANTO CIERVANA/ABANTO ZIERBENA",1983,1,-19.6037969459348,1,-2.2
"12","ABANTO CIERVANA/ABANTO ZIERBENA",1985,1,-4.05544147843943,-1,-0.7
"13","ABANTO CIERVANA/ABANTO ZIERBENA",1987,7,16.1048689138577,0,0.7
"14","ABANTO CIERVANA/ABANTO ZIERBENA",1989,0,36.5898617511521,0,-0.7
"15","ABANTO CIERVANA/ABANTO ZIERBENA",1991,-2,8.50202429149798,0,1
"17","ALCOY/ALCOI",1965,0,20.0693842150911,-1,-5.3
"18","ALCOY/ALCOI",1967,-2,16.9748627564288,1,-10.2
"19","ALCOY/ALCOI",1969,0,24.5893540817587,0,46.7
"20","ALCOY/ALCOI",1971,-2,4.40126883425853,0,-69.7
"21","ALCOY/ALCOI",1973,1,19.3505507026206,4,28.6
"22","ALCOY/ALCOI",1975,2,24.3675417661098,7,6.6
"23","ALCOY/ALCOI",1977,11,10.1516023795817,4,6.6
"24","ALCOY/ALCOI",1979,4,30.267131242741,2,-1.9
"25","ALCOY/ALCOI",1981,-16,18.9461483594864,2,-7.4
"26","ALCOY/ALCOI",1983,17,2.1587587137396,7,4.8
"27","ALCOY/ALCOI",1985,25,-0.326509648543547,1,-2.9
"28","ALCOY/ALCOI",1987,7,-4.65604181235967,-2,-5.3
"29","ALCOY/ALCOI",1989,-1,0.899474984558369,0,-2.3
"30","ALCOY/ALCOI",1991,-6,0.229559628113402,1,0
"32","ALICANTE/ALACANT",1965,-1,40.3116934683343,4,-34.3000000000001
"33","ALICANTE/ALACANT",1967,6,22.9536611248673,2,-86.6999999999999
"34","ALICANTE/ALACANT",1969,1,27.6446387985845,4,-92.9000000000001
"35","ALICANTE/ALACANT",1971,-5,18.7657771366751,1,107.5
"36","ALICANTE/ALACANT",1973,2,25.7145025999165,7,275
"37","ALICANTE/ALACANT",1975,8,18.3276976028018,21,234.6
"38","ALICANTE/ALACANT",1977,11,6.32263825987115,21,240.9
"39","ALICANTE/ALACANT",1979,8,34.8459941685365,15,-180.3
"40","ALICANTE/ALACANT",1981,-27,14.6019825238917,11,-244.5
"41","ALICANTE/ALACANT",1983,81,2.7183365426424,10,-38.5
"42","ALICANTE/ALACANT",1985,24,3.67441965939241,4,-77.5
"43","ALICANTE/ALACANT",1987,52,1.93359289557723,9,-104.2
"44","ALICANTE/ALACANT",1989,73,-5.62207630573795,-1,-21.3
"45","ALICANTE/ALACANT",1991,-37,6.47689206190411,2,20
"47","ALTEA",1965,1,59.8445595854922,0,17.4
"48","ALTEA",1967,2,19.935170178282,1,-0.5
"49","ALTEA",1969,-1,18.9189189189189,0,-20.9
"50","ALTEA",1971,-2,25.3409090909091,0,-9
"51","ALTEA",1973,0,39.7098821396192,0,-2.9
"52","ALTEA",1975,2,36.729396495782,1,-5.9
"53","ALTEA",1977,0,11.438063597532,3,82.5
"54","ALTEA",1979,-2,37.3935264054514,1,-36
"55","ALTEA",1981,1,25.077495350279,0,23.7
"56","ALTEA",1983,5,25.1301115241636,1,-1.59999999999999
"57","ALTEA",1985,2,20.2020202020202,0,-1.3
"58","ALTEA",1987,14,14.4504860767837,0,-7.8
"59","ALTEA",1989,-2,-0.662251655629139,0,26.1
"60","ALTEA",1991,-2,4.2463768115942,0,-3
"62","ALTSASU/ALSASUA",1965,-1,32.3843416370107,1,0
"63","ALTSASU/ALSASUA",1967,0,34.1397849462366,0,-3.7
"64","ALTSASU/ALSASUA",1969,1,32.064128256513,0,7.8
"65","ALTSASU/ALSASUA",1971,0,18.6646433990895,0,-4.1
"66","ALTSASU/ALSASUA",1973,-1,37.4680306905371,1,-3.1
"67","ALTSASU/ALSASUA",1975,4,55.1627906976744,2,-0.700000000000001
"68","ALTSASU/ALSASUA",1977,-3,11.9304556354916,0,-0.699999999999999
"69","ALTSASU/ALSASUA",1979,1,-15.3722549544724,2,-1.6
"70","ALTSASU/ALSASUA",1981,-1,5.69620253164557,0,-0.200000000000001
"71","ALTSASU/ALSASUA",1983,0,37.0658682634731,0,-1.3
"72","ALTSASU/ALSASUA",1985,6,-8.47531673219747,0,-1.6
"73","ALTSASU/ALSASUA",1987,-2,5.15513126491647,1,1
"74","ALTSASU/ALSASUA",1989,7,4.03994552882433,0,-1.2
"75","ALTSASU/ALSASUA",1991,-3,2.74869109947644,-1,-1
"77","ARANJUEZ",1965,0,26.3913824057451,1,7
"78","ARANJUEZ",1967,0,12.8314393939394,0,24.5
"79","ARANJUEZ",1969,0,17.4989509022241,1,2.9
