"","region","year","PIB_real","Popul_FEDEA","Ocup_agreg_FEDEA","Ocup_AyP_FEDEA","Ocup_r_FEDEA","Ocup_MyEyA_FEDEA","Ocup_m_FEDEA","Ocup_c_FEDEA","Ocup_SPySyEP_FEDEA","Ocup_FyS_FEDEA","Ocup_CyHyTyC_FEDEA","P16_FEDEA","Inv_Infraestructura","Inversión_total","Inv_no_infra","Creacion"
"1","AND","1955",18158730.1582856,5758605.05744453,1977.26965022771,1092.40550701956,153.853457172956,12.1583838252571,215.693774857394,132.137364907197,109.952517105638,10.3430383861914,250.725606953521,3902.35103287346,NA,NA,NA,NA
"2","AND","1956",18703676.1834948,5784044.12094938,1993.82539782542,1083.88109455879,155.378092811066,13.6787847544088,221.70596805152,134.008958386404,112.917957557536,10.8777006183309,261.376841087363,3914.05475036287,NA,NA,NA,NA
"3","AND","1957",18920606.4128374,5813966.97347235,2011.23376611976,1075.44855496704,156.979174843495,15.2423159232756,227.871194100683,135.960727127763,115.997356816899,11.4259079461268,272.308534394482,3928.73966158102,NA,NA,NA,NA
"4","AND","1958",19978714.691771,5849026.71899836,2033.23365219839,1066.07559461825,159.138847038932,15.5319885573291,236.01051605354,136.561327265369,120.293775487856,12.2928061813832,287.328796995733,3946.83359841776,NA,NA,NA,NA
"5","AND","1959",21867016.4913399,5885891.19514106,1994.78563536084,1025.10818370879,156.570038890355,15.3635098006211,237.068658491658,133.115347548965,121.030379648542,12.7901470395721,293.739370232332,3966.07650987509,NA,NA,NA,NA
"6","AND","1960",22024654.512794,5922255.66377233,1951.52170052979,973.103328250338,153.761186572438,14.8329059587394,237.432164695246,135.419015487108,123.481083632427,12.9625526406427,300.529463292854,3984.91242388676,NA,NA,NA,78
"7","AND","1961",22507943.8937029,5941150,1939.62551525947,937.520294594877,153.408601803275,14.5480954185626,241.422236129724,139.769285798969,127.828776671806,13.3314630625416,311.796761779714,3992.8950898782,NA,NA,NA,67
"8","AND","1962",24100009.1010363,5941878,1945.51181259254,909.66575948928,154.008706287896,14.3123874999417,249.667671821077,148.405295433525,134.20475207662,14.0505717544495,321.196668229749,3989.60789179713,NA,NA,NA,80
"9","AND","1963",25750965.7748765,5943820,1944.61668799384,878.505874905627,154.071599076357,14.0270851131923,257.012689387981,156.56937521608,140.198903668686,14.7235708887196,329.507589737194,3987.13412354587,NA,NA,NA,86
"10","AND","1964",28182462.5867776,5950977,1941.2993042982,850.17555762396,153.69947052985,14.1908294870268,260.56110903129,160.687736871426,147.45176527036,15.4803761924521,339.052459291833,3988.15281151617,289414.406108656,651124.233272563,361709.827163907,110
"11","AND","1965",29269207.8339481,5961924,1937.12159275525,821.500703115499,153.257437922255,14.3536977041844,263.926752487962,164.733706876447,154.704448070674,16.2285251627774,348.416321415446,3991.69992889862,332960.09814656,717283.258234953,384323.160088393,162
"12","AND","1966",31629050.5145337,5974868,1931.22253167543,786.913347578142,153.170280262012,14.6155913128373,266.497188887145,168.926226776954,163.596982361909,16.9350656450889,360.567848851342,3996.56891767172,410078.122118028,862932.404256233,452854.282138205,148
"13","AND","1967",33748732.2860324,5990969,1931.54881280223,754.914034663317,153.56738382499,14.9315570911918,269.844060432652,173.658610007826,173.106421256319,17.6941078785781,373.832637647358,4003.53115294902,548597.930205192,955328.30934952,406730.379144328,130
"14","AND","1968",36036060.2600874,6002791,1939.33803998399,736.406405472282,152.645934724682,15.0954791827027,273.273690165215,178.240300828351,180.264173620036,18.9696276518219,384.442428338895,4007.61615228274,654315.090054891,1048236.2274193,393921.137364406,131
"15","AND","1969",39200510.8117358,6000893,1947.41647639612,717.743312437277,151.730279275048,15.2696804138797,276.698178507619,182.900086059132,187.622814661548,20.2601461114421,395.191978930172,4002.53502281374,698414.853212946,1128968.26477535,430553.411562406,132
"16","AND","1970",42438902.4912318,5993755,1954.98456724198,694.286274395244,151.5959755,15.567218274286,278.595351772922,191.306741065936,193.16890173329,21.6947400457565,408.769364454551,3993.96460926162,710818.860463637,1309590.21819854,598771.357734906,154
"17","AND","1971",43819722.1813633,6012377.012221,1959.92157608764,669.672677701883,151.244851949493,15.8552318438948,280.043293565133,199.530917335589,198.598567591047,23.110194591138,421.865841509462,4008.82897563,919987.386019252,1651495.34123606,731507.955216806,157
"18","AND","1972",46178499.7309101,6061747.018005,1952.33618216987,640.32955094224,151.545324777994,15.8025726318731,281.605377768335,200.285247765477,204.941628645511,24.749142251494,433.077337386949,4050.144190299,680997.626887447,1360708.39022873,679710.763341281,216
"19","AND","1973",48888375.9688322,6109354.336105,1984.21845775628,623.565101729864,154.91041582165,16.0765871958158,288.783041720844,205.112752347102,215.676718922418,26.9110521865104,453.182787832078,4093.851849828,633833.205694766,1324400.50533388,690567.299639117,306
"20","AND","1974",49902102.2511417,6155360.550833,1978.83824649867,594.811150726739,157.000724199401,16.2718880239788,290.037465850441,201.571434044368,229.168708882382,29.3783449302024,460.598529841157,4141.353344645,592376.595304345,1426733.64085977,834357.045555423,262
"21","AND","1975",52261505.1169961,6201672.44454,1928.81496579918,553.375258030601,155.456706857392,16.1047224749158,284.550210729758,193.54793469318,237.355861816483,31.1094739905894,457.314797206257,4185.915464649,643308.978219589,1643969.90922253,1000660.93100294,272
"22","AND","1976",53799303.6533561,6245841.883515,1911.42973962016,526.976779246042,155.000235844993,16.1068219400518,280.694362163961,189.38365203506,251.082880672777,32.408024018334,459.776983698943,4228.862835746,964966.631106293,1886029.5958864,921062.96478011,362
"23","AND","1977",53735401.8559013,6292330.129108,1899.32987928884,502.299693665393,154.929954172981,16.1619109241041,277.500635384707,185.759836947247,265.587895297603,33.7671028782012,463.322850018601,4273.52202795,744935.883575613,1557615.7521144,812679.868538785,500
"24","AND","1978",56226175.2081523,6336988.113831,1858.12882683205,477.611133136885,153.581166832721,16.4456176420986,266.486337400328,180.565487283034,269.880840480703,34.2559115897604,459.302332466519,4318.184457036,670444.104971707,1572042.494249,901598.389277289,404
"25","AND","1979",59844375.2117676,6377524.173898,1827.93998924188,456.132503118049,153.045956554081,16.8279476114209,257.156149326913,176.478544951575,275.687578463677,34.8985094714038,457.712799744764,4365.785577581,516704.221317498,1211045.33228274,694341.110965244,522
"26","AND","1980",62199495.7324469,6414286.713505,1792.22870331109,426.462610341527,152.80663087437,17.0969928637078,250.936616106102,169.912716564003,283.284470426634,35.2589701955247,456.469695939218,4420.144432215,582537.736202877,1178178.71811358,595640.981910703,710
"27","AND","1981",61893143.9008046,6462978.958564,1747.81456483714,395.64532473157,151.65855435395,17.2817103724096,243.387815768357,162.633067358819,289.281282003854,35.3928499730923,452.533960275086,4482.976948868,710785.58409466,1352371.98415061,641586.400055947,763
"28","AND","1982",62901726.9097649,6529043.782229,1715.27514154957,360.644327276746,152.930657660964,17.6198982398926,235.444174125435,157.36047938783,303.513241459636,35.2191695629345,452.543193836129,4568.89,1056808.41295325,1806576.45472716,749768.041773905,1032
"29","AND","1983",64401656.8749208,6587683.363418,1691.8051599417,328.702293152047,154.767451200347,18.0547244968943,228.65976495323,152.934638935544,319.127020280353,35.1951656275115,454.364101295778,4649.38,1008274.85856716,1798370.19330462,790095.33473746,1126
"30","AND","1984",65297274.1284614,6647444.170368,1666.77837102266,307.957326137241,152.183482596344,18.3086425059988,220.063769540078,147.787385877488,331.863368799475,34.512880515851,454.101515050187,4729.573,919923.447320489,1980984.11580148,1061060.66848099,1286
"31","AND","1985",67683944.1320793,6699926.640963,1662.24682270943,291.276455392395,151.402336412833,18.8061393704358,214.122709615723,144.462952925004,348.887445772768,34.2429670702014,459.045816150064,4804.879,1111655.07026731,2652997.38344999,1541342.31318268,1799
"32","AND","1986",69635909.6823674,6746828.960853,1706.21770123541,275.571269895096,157.674046294108,19.2307324143685,213.722807517576,151.628929057691,377.219158875412,34.495393307013,476.675363874149,4878.172,1237535.50658096,2903271.78484841,1665736.27826745,2198
"33","AND","1987",73633820.3297836,6794685.770972,1793.8964872498,265.47907672773,168.006367010271,20.1494647105487,218.152642151005,162.831031289125,417.230598738124,35.5607049170804,506.486601705918,4953.192,1498508.65390373,2964700.20485035,1466191.55094661,2835
"34","AND","1988",78036496.0542992,6838376.867525,1866.27066638875,256.673571091033,175.172036125163,21.0602702444383,218.584614865804,186.316346146185,449.108893882275,37.1827616275694,522.172172406286,5028.559,2154884.2934485,3843952.97057001,1689068.67712151,3606
"35","AND","1989",82218284.1390299,6877703.088367,1943.92518577284,247.290374823196,182.715501550752,22.0557657192043,218.842224578177,211.506406298904,484.046515150481,38.8949746383819,538.573423013741,5102.524,2712174.90269728,5004295.67728636,2292120.77458908,4139
"36","AND","1990",87558834.5234777,6915480.122179,2031.01731514047,247.752809516647,193.779436710185,22.7237030120533,225.319173006837,227.557119533668,510.494290988537,40.4633774267192,562.927404945819,5176.394,3392598.2240388,6361856.3135693,2969258.0895305,4168
"37","AND","1991",90164943.5965834,6955714.5625,2053.39566086203,233.448915732637,203.370410951884,22.4124751352553,220.527585642865,223.206316906109,525.095535632706,43.0064044099903,582.328016450587,5255.361,3017196.11408924,5800342.71389055,2783146.59980131,4153
"38","AND","1992",91042839.1067557,7003429.572035,2008.39466419766,213.403673544253,210.278622646342,22.2298075646445,216.013142015034,188.967897493067,517.790144688601,44.1825222642107,595.528853981506,5341.52,2660881.35760196,4740747.37972228,2079866.02212032,4926
"39","AND","1993",89507895.5831074,7050507.884736,1940.77662021409,199.808917926502,208.054973587433,21.7562887299897,208.977219442151,169.057069475617,506.690750308445,43.4310118280163,583.000388915931,5425.084,2562251.85580932,4661838.87315784,2099587.01734852,5643
"40","AND","1994",91680805.9903982,7093817.497714,1937.76462695816,194.194692175639,211.771369202367,22.1486441105843,207.547540732868,166.196346299578,500.663439454905,42.889972480618,592.352622501598,5506.761,2332764.67906965,4236525.73759067,1903761.05852103,7414
"41","AND","1995",94152952.8534276,7132308.917649,1970.82433049021,191.351584449107,220.836471452146,22.2835954356704,206.013834969911,179.747331318213,489.895781512557,44.0608257937212,616.634905558885,5585.18,2277938.53628588,4505519.19924204,2227580.66295616,7983
"42","AND","1996",96749168.7561904,7167506.311107,2008.04426075645,197.371641203859,239.283190179944,21.936949315799,208.416249094289,185.62480603016,485.876049005089,43.2909478681794,626.244428059135,5658.991,2268765.38357732,4085622.07698608,1816856.69340877,7797
"43","AND","1997",101860730.778544,7202053.673029,2120.86118125201,208.945209369969,270.743700512987,22.9158721343633,221.638457800139,194.945576899169,492.080369783585,42.4796251131481,667.112369638648,5729.436,1779656.23599508,3499360.20211325,1719703.96611817,8639
"44","AND","1998",105819197.821978,7235142.822062,2195.36177058708,219.50136098007,291.082264887142,24.7052776220627,232.823140285632,214.111204332337,494.159771144917,41.0833985607337,677.895352774183,5794.608,1883008.01345645,3912757.97332689,2029749.95987044,9868
