"","region","year","Pobl_total","Pobl_16","PIB_nominal","PIB_real","Empleo_agreg","Empleo_constr","Empleo_ser","Creacion","total","agricultura","industria","construcción","servicios"
"1","A Coruña","1955",NA,NA,NA,NA,378267,18961,89998,NA,NA,NA,NA,NA,NA
"2","A Coruña","1956",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","A Coruña","1957",NA,NA,NA,NA,385434,20257,94402,NA,NA,NA,NA,NA,NA
"4","A Coruña","1958",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","A Coruña","1959",NA,NA,NA,NA,395248,20180,101870,NA,NA,NA,NA,NA,NA
"6","A Coruña","1960",NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA
"7","A Coruña","1961",NA,NA,NA,NA,403834,20090,106507,10,NA,NA,NA,NA,NA
"8","A Coruña","1962",NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA
"9","A Coruña","1963",NA,NA,NA,NA,410789,21301,111752,8,NA,NA,NA,NA,NA
"10","A Coruña","1964",NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA
"11","A Coruña","1965",NA,NA,NA,NA,412192,22644,116996,21,NA,NA,NA,NA,NA
"12","A Coruña","1966",NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA
"13","A Coruña","1967",NA,NA,NA,NA,413703,24010,122299,17,NA,NA,NA,NA,NA
"14","A Coruña","1968",NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA
"15","A Coruña","1969","1034877",NA,351852,77843.3628318584,417635,24797,128185,22,NA,NA,NA,NA,NA
"16","A Coruña","1970",NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA
"17","A Coruña","1971","1030721",757051,459372,90964.7524752475,433358,28188,136359,21,NA,NA,NA,NA,NA
"18","A Coruña","1972","1036542",762449,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA
"19","A Coruña","1973","1043292",768558,650718,109733.220910624,441663,33188,141735,38,NA,NA,NA,NA,NA
"20","A Coruña","1974","1049637",774450,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA
"21","A Coruña","1975","1056671",780286,954072,118813.449564134,443976,30938,149159,44,NA,NA,NA,NA,NA
"22","A Coruña","1976","1063290",785926,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA
"23","A Coruña","1977","1070168",791880,1474056,131847.584973166,429534,31817,159397,90,400200,138100,80800,34100,147200
"24","A Coruña","1978","1076441",796840,NA,NA,NA,NA,NA,85,394900,130900,78700,38800,146600
"25","A Coruña","1979","1082880",801868,NA,NA,401199,35129,162332,142,385300,121400,76700,41400,145800
